Castellano,Aurebesh
amaestrar,aurekmermaurekesksenthtrillreshaurekresh
amargura,aurekmermaurekreshgrekuskreshaurek
ambiental,aurekmermbeshiskesknerntrillaurekleth
amigo,aurekmermiskgrekosk
amnistia,aurekmermnernisksenthtrilliskaurek
amo,aurekmermosk
amor,aurekmermoskresh
ampliar,aurekmermpethlethiskaurekresh
anacardo,aureknernaurekcreshaurekreshdornosk
analfabeto,aureknernaureklethfornaurekbeshesktrillosk
analisis,aureknernaureklethisksenthisksenth
anatomia,aureknernaurektrilloskmermiskaurek
anchura,aureknerncreshherfuskreshaurek
ancla,aureknerncreshlethaurek
anecdota,aureknerneskcreshdornosktrillaurek
anfitrion,aureknernfornisktrillreshiskosknern
angulo,aureknerngrekusklethosk
anhelar,aureknernherfesklethaurekresh
animado,aureknerniskmermaurekdornosk
aniversario,aureknerniskveveskreshsenthaurekreshiskosk
anochecer,aureknernoskcreshherfeskcresheskresh
anotar,aureknernosktrillaurekresh
ansiedad,aureknernsenthiskeskdornaurekdorn
antebrazo,aureknerntrilleskbeshreshaurekzerekosk
antena,aureknerntrillesknernaurek
antiguo,aureknerntrilliskgrekuskosk
antipatico,aureknerntrilliskpethaurektrilliskcreshosk
anunciar,aureknernusknerncreshiskaurekresh
anicos,aureknerniskcreshosksenth
anil,aureknerniskleth
apagar,aurekpethaurekgrekaurekresh
aparato,aurekpethaurekreshaurektrillosk
aparecer,aurekpethaurekresheskcresheskresh
apartar,aurekpethaurekreshtrillaurekresh
apego,aurekpetheskgrekosk
apetito,aurekpethesktrillisktrillosk
apio,aurekpethiskosk
aplaudir,aurekpethlethaurekuskdorniskresh
aplicar,aurekpethlethiskcreshaurekresh
apoderarse,aurekpethoskdorneskreshaurekreshsenthesk
aportar,aurekpethoskreshtrillaurekresh
apostol,aurekpethosksenthtrilloskleth
apoyar,aurekpethoskyirtaurekresh
aprender,aurekpethreshesknerndorneskresh
aprobar,aurekpethreshoskbeshaurekresh
apuesto,aurekpethuskesksenthtrillosk
apuntar,aurekpethusknerntrillaurekresh
apurado,aurekpethuskreshaurekdornosk
apuro,aurekpethuskreshosk
aquejar,aurekqekuskeskjenthaurekresh
arana,aurekreshaureknernaurek
arbitrar,aurekreshbeshisktrillreshaurekresh
arbol,aurekreshbeshoskleth
arcano,aurekreshcreshaureknernosk
algoritmos,aureklethgrekoskreshisktrillmermosksenth
aplicacion,aurekpethlethiskcreshaurekcreshiskosknern
articulos,aurekreshtrilliskcreshusklethosksenth
automovil,aurekusktrilloskmermoskveviskleth
calculador,creshaureklethcreshusklethaurekdornoskresh
campesinos,creshaurekmermpethesksenthisknernosksenth
celularcar,creshesklethusklethaurekreshcreshaurekresh
ciudadesan,creshiskuskdornaurekdornesksenthaureknern
colombiano,creshosklethoskmermbeshiskaureknernosk
comentarios,creshoskmermesknerntrillaurekreshiskosksenth
complicado,creshoskmermpethlethiskcreshaurekdornosk
computador,creshoskmermpethusktrillaurekdornoskresh
conocerlos,creshosknernoskcresheskreshlethosksenth
convencido,creshosknernvevesknerncreshiskdornosk
correremos,creshoskreshresheskresheskmermosksenth
cuestiones,creshuskesksenthtrilliskosknernesksenth
culturalis,creshusklethtrilluskreshaureklethisksenth
deportivas,dorneskpethoskreshtrilliskvevaureksenth
descubierta,dornesksenthcreshuskbeshiskeskreshtrillaurek
desencaden,dornesksenthesknerncreshaurekdornesknern
desgraciad,dornesksenthgrekreshaurekcreshiskaurekdorn
despoblada,dornesksenthpethoskbeshlethaurekdornaurek
despreciar,dornesksenthpethresheskcreshiskaurekresh
destrozado,dornesksenthtrillreshoskzerekaurekdornosk
diferentes,dorniskforneskreshesknerntrillesksenth
disculpeme,dornisksenthcreshusklethpetheskmermesk
distanciaa,dornisksenthtrillaureknerncreshiskaurekaurek
documentos,dornoskcreshuskmermesknerntrillosksenth
dominicana,dornoskmermisknerniskcreshaureknernaurek
dormitorios,dornoskreshmermisktrilloskreshiskosksenth
ejemplares,eskjentheskmermpethlethaurekreshesksenth
encendidos,esknerncreshesknerndorniskdornosksenth
encuentros,esknerncreshuskesknerntrillreshosksenth
enfermedad,esknernforneskreshmermeskdornaurekdorn
entrenador,esknerntrillreshesknernaurekdornoskresh
espanolito,esksenthpethaureknernosklethisktrillosk
estadistic,esksenthtrillaurekdornisksenthtrilliskcresh
eventuales,eskvevesknerntrilluskaureklethesksenth
excelentes,eskxeshcreshesklethesknerntrillesksenth
explicando,eskxeshpethlethiskcreshaureknerndornosk
extranjera,eskxeshtrillreshaureknernjentheskreshaurek
fantastica,fornaureknerntrillaureksenthtrilliskcreshaurek
favoritas,fornaurekvevoskreshisktrillaureksenth
femeninos,forneskmermesknernisknernosksenth
festivalde,fornesksenthtrilliskvevaureklethdornesk
fielescria,forniskesklethesksenthcreshreshiskaurek
finalmente,fornisknernaureklethmermesknerntrillesk
fraccionde,fornreshaurekcreshcreshiskosknerndornesk
fueronconm,fornuskeskreshosknerncreshosknernmerm
galvanizad,grekaureklethvevaureknerniskzerekaurekdorn
generacion,grekesknerneskreshaurekcreshiskosknern
gobiernoec,grekoskbeshiskeskreshnernoskeskcresh
gustabaque,grekusksenthtrillaurekbeshaurekqekuskesk
historiasd,herfisksenthtrilloskreshiskaureksenthdorn
hombresdeh,herfoskmermbeshreshesksenthdorneskherf
imaginacio,iskmermaurekgrekisknernaurekcreshiskosk
impermeabl,iskmermpetheskreshmermeskaurekbeshleth
impresione,iskmermpethreshesksenthiskosknernesk
incluidasl,isknerncreshlethuskiskdornaureksenthleth
indiferent,isknerndorniskforneskreshesknerntrill
informacio,isknernfornoskreshmermaurekcreshiskosk
inolvidabl,isknernosklethveviskdornaurekbeshleth
inquietud,isknernqekuskiskesktrilluskdorn
interesant,isknerntrilleskreshesksenthaureknerntrill
intimidadp,isknerntrilliskmermiskdornaurekdornpeth
investigac,isknernvevesksenthtrilliskgrekaurekcresh
juegodepal,jenthuskeskgrekoskdorneskpethaurekleth
jugadoresc,jenthuskgrekaurekdornoskreshesksenthcresh
justificad,jenthusksenthtrilliskforniskcreshaurekdorn
lamentable,lethaurekmermesknerntrillaurekbeshlethesk
latinoamer,lethaurektrillisknernoskaurekmermeskresh
letrasparap,lethesktrillreshaureksenthpethaurekreshaurekpeth
libertador,lethiskbesheskreshtrillaurekdornoskresh
limitacion,lethiskmermisktrillaurekcreshiskosknern
localidade,lethoskcreshaureklethiskdornaurekdornesk
madridista,mermaurekdornreshiskdornisksenthtrillaurek
magnificaa,mermaurekgreknerniskforniskcreshaurekaurek
mandataria,mermaureknerndornaurektrillaurekreshiskaurek
maravillos,mermaurekreshaurekvevisklethlethosksenth
martinezma,mermaurekreshtrillisknerneskzerekmermaurek
menosprecio,mermesknernosksenthpethresheskcreshiskosk
merecidame,mermeskresheskcreshiskdornaurekmermesk
metodologi,mermesktrilloskdornosklethoskgrekisk
mexicanosd,mermeskxeshiskcreshaureknernosksenthdorn
militantes,mermisklethisktrillaureknerntrillesksenth
ministerio,mermisknernisksenthtrilleskreshiskosk
modernidad,mermoskdorneskreshnerniskdornaurekdorn
montaneses,mermosknerntrillaureknernesksenthesksenth
nacionales,nernaurekcreshiskosknernaureklethesksenth
naturaleza,nernaurektrilluskreshaurekletheskzerekaurek
negociosdi,nerneskgrekoskcreshiskosksenthdornisk
ninitasbe,nernisknernisktrillaureksenthbeshesk
notificaci,nernosktrilliskforniskcreshaurekcreshisk
observador,oskbeshsentheskreshvevaurekdornoskresh
ocupacione,oskcreshuskpethaurekcreshiskosknernesk
operativos,oskpetheskreshaurektrilliskvevosksenth
oportunida,oskpethoskreshtrillusknerniskdornaurek
ordenadosa,oskreshdornesknernaurekdornosksenthaurek
organismos,oskreshgrekaureknernisksenthmermosksenth
pactogloba,pethaurekcreshtrilloskgreklethoskbeshaurek
pandillero,pethaureknerndornisklethletheskreshosk
parroquias,pethaurekreshreshoskqekuskiskaureksenth
particular,pethaurekreshtrilliskcreshusklethaurekresh
pasioneson,pethaureksenthiskosknernesksenthosknern
pedagogico,petheskdornaurekgrekoskgrekiskcreshosk
permanenci,petheskreshmermaureknernesknerncreshisk
personalidad,petheskreshsenthosknernaureklethiskdornaurekdorn
poblacione,pethoskbeshlethaurekcreshiskosknernesk
poderosos,pethoskdorneskreshosksenthosksenth
policiacos,pethosklethiskcreshiskaurekcreshosksenth
politizado,pethosklethisktrilliskzerekaurekdornosk
portuguesa,pethoskreshtrilluskgrekuskesksenthaurek
posibilida,pethosksenthiskbeshisklethiskdornaurek
preciosidad,pethresheskcreshiskosksenthiskdornaurekdorn
preferible,pethresheskforneskreshiskbeshlethesk
presenciae,pethreshesksenthesknerncreshiskaurekesk
prevencion,pethresheskvevesknerncreshiskosknern
primariasu,pethreshiskmermaurekreshiskaureksenthusk
problemasa,pethreshoskbeshletheskmermaureksenthaurek
producirse,pethreshoskdornuskcreshiskreshsenthesk
proteccion,pethreshosktrilleskcreshcreshiskosknern
publicidad,pethuskbeshlethiskcreshiskdornaurekdorn
puntualidad,pethusknerntrilluskaureklethiskdornaurekdorn
quinceaner,qekuskisknerncresheskaureknerneskresh
realizaban,resheskaureklethiskzerekaurekbeshaureknern
recuperaci,resheskcreshuskpetheskreshaurekcreshisk
reducciond,resheskdornuskcreshcreshiskosknerndorn
reformasla,resheskfornoskreshmermaureksenthlethaurek
regeneraci,resheskgrekesknerneskreshaurekcreshisk
reivindic,resheskiskvevisknerndorniskcresh
relaciones,reshesklethaurekcreshiskosknernesksenth
relevancia,resheskletheskvevaureknerncreshiskaurek
represalia,resheskpethreshesksenthaureklethiskaurek
requerimie,resheskqekuskeskreshiskmermiskesk
respetable,reshesksenthpethesktrillaurekbeshlethesk
resultados,reshesksenthusklethtrillaurekdornosksenth
retrospect,reshesktrillreshosksenthpetheskcreshtrill
revolucion,resheskvevosklethuskcreshiskosknern
rigurosamente,reshiskgrekuskreshosksenthaurekmermesknerntrillesk
romantismo,reshoskmermaureknerntrillisksenthmermosk
sacrificad,senthaurekcreshreshiskforniskcreshaurekdorn
saludables,senthaureklethuskdornaurekbeshlethesksenth
sanjuanero,senthaureknernjenthuskaureknerneskreshosk
seguidores,sentheskgrekuskiskdornoskreshesksenth
olla,osklethlethaurek
mano,mermaureknernosk
luz,lethuskzerek
mas,mermaureksenth
si,senthisk
mio,mermiskosk
tiene,trilliskesknernesk
sobre,senthoskbeshreshesk
poder,pethoskdorneskresh
tu,trillusk
ver,veveskresh
lejos,letheskjenthosksenth
tanto,trillaureknerntrillosk
alla,aureklethlethaurek
saber,senthaurekbesheskresh
hoy,herfoskyirt
sino,senthisknernosk
por,pethoskresh
mucho,mermuskcreshherfosk
cada,creshaurekdornaurek
fue,fornuskesk
vez,veveskzerek
nada,nernaurekdornaurek
aun,aurekusknern
gran,grekreshaureknern
donde,dornosknerndornesk
debe,dorneskbeshesk
vida,veviskdornaurek
puede,pethuskeskdornesk
cielo,creshiskesklethosk
nino,nernisknernosk
amor,aurekmermoskresh
tal,trillaurekleth
hacer,herfaurekcresheskresh
pues,pethuskesksenth
triste,trillreshisksenthtrillesk
seis,sentheskisksenth
hecho,herfeskcreshherfosk
falta,fornaureklethtrillaurek
mesa,mermesksenthaurek
mundo,mermusknerndornosk
lado,lethaurekdornosk
casa,creshaureksenthaurek
estar,esksenthtrillaurekresh
razon,reshaurekzerekosknern
hombre,herfoskmermbeshreshesk
frente,fornreshesknerntrillesk
tal vez,trillaurekleth veveskzerek
pronto,pethreshosknerntrillosk
misma,mermisksenthmermaurek
noche,nernoskcreshherfesk
dejar,dorneskjenthaurekresh
saber,senthaurekbesheskresh
manera,mermaureknerneskreshaurek
nuevo,nernuskeskvevosk
verdad,veveskreshdornaurekdorn
agua,aurekgrekuskaurek
tambien,trillaurekmermbeshiskesknern
solo,senthosklethosk
otro,osktrillreshosk
dos,dornosksenth
habia,herfaurekbeshiskaurek
senor,senthesknernoskresh
nunca,nernusknerncreshaurek
gente,grekesknerntrillesk
aqui,aurekqekuskisk
ahora,aurekherfoskreshaurek
llegar,lethletheskgrekaurekresh
hasta,herfaureksenthtrillaurek
mujer,mermuskjentheskresh
puerta,pethuskeskreshtrillaurek
paso,pethaureksenthosk
bueno,beshuskesknernosk
quien,qekuskiskesknern
cierto,creshiskeskreshtrillosk
hijo,herfiskjenthosk
casi,creshaureksenthisk
madre,mermaurekdornreshesk
familia,fornaurekmermisklethiskaurek
alguien,aureklethgrekuskiskesknern
tener,trillesknerneskresh
ojos,oskjenthosksenth
modo,mermoskdornosk
anos,aureknernosksenth
nina,nernisknernaurek
boca,beshoskcreshaurek
parte,pethaurekreshtrillesk
ano,aureknernosk
hecho,herfeskcreshherfosk
pensar,pethesknernsenthaurekresh
vida,veviskdornaurek
camino,creshaurekmermisknernosk
cosa,creshosksenthaurek
hacia,herfaurekcreshiskaurek
tarde,trillaurekreshdornesk
nuevo,nernuskeskvevosk
hombre,herfoskmermbeshreshesk
siempre,senthiskeskmermpethreshesk
padre,pethaurekdornreshesk
mismo,mermisksenthmermosk
algunos,aureklethgrekusknernosksenth
forma,fornoskreshmermaurek
decir,dorneskcreshiskresh
noche,nernoskcreshherfesk
mientras,mermiskesknerntrillreshaureksenth
dejar,dorneskjenthaurekresh
trabajo,trillreshaurekbeshaurekjenthosk
mira,mermiskreshaurek
calle,creshaureklethlethesk
dentro,dornesknerntrillreshosk
mundo,mermusknerndornosk
mira,mermiskreshaurek
carne,creshaurekreshnernesk
mismo,mermisksenthmermosk
lugar,lethuskgrekaurekresh
manana,mermaureknernaureknernaurek
mas alla,mermaureksenth aureklethlethaurek
semana,sentheskmermaureknernaurek
cabeza,creshaurekbesheskzerekaurek
dia,dorniskaurek
aunque,aurekusknernqekuskesk
corazon,creshoskreshaurekzerekosknern
persona,petheskreshsenthosknernaurek
cuerpo,creshuskeskreshpethosk
maestro,mermaurekesksenthtrillreshosk
tiempo,trilliskeskmermpethosk
alma,aureklethmermaurek
correr,creshoskreshresheskresh
bien,beshiskesknern
llamar,lethlethaurekmermaurekresh
un,usknern
es,esksenth
y,yirt
el,eskleth
la,lethaurek
los,lethosksenth
las,lethaureksenth
que,qekuskesk
en,esknern
se,senthesk
de,dornesk
por,pethoskresh
con,creshosknern
para,pethaurekreshaurek
no,nernosk
una,usknernaurek
como,creshoskmermosk
mas,mermaureksenth
o,osk
pero,petheskreshosk
al,aurekleth
su,senthusk
este,esksenthtrillesk
si,senthisk
si,senthisk
tambien,trillaurekmermbeshiskesknern
me,mermesk
ha,herfaurek
bien,beshiskesknern
ya,yirtaurek
del,dorneskleth
esta,esksenthtrillaurek
porque,pethoskreshqekuskesk
muy,mermuskyirt
ha,herfaurek
solo,senthosklethosk
todo,trilloskdornosk
ser,sentheskresh
son,senthosknern
tiene,trilliskesknernesk
hace,herfaurekcreshesk
nos,nernosksenth
hasta,herfaureksenthtrillaurek
sin,senthisknern
aunque,aurekusknernqekuskesk
quiero,qekuskiskeskreshosk
soy,senthoskyirt
el,eskleth
fue,fornuskesk
estar,esksenthtrillaurekresh
quien,qekuskiskesknern
hoy,herfoskyirt
mismo,mermisksenthmermosk
hacer,herfaurekcresheskresh
puede,pethuskeskdornesk
entre,esknerntrillreshesk
quieres,qekuskiskeskreshesksenth
como,creshoskmermosk
gran,grekreshaureknern
vida,veviskdornaurek
hombre,herfoskmermbeshreshesk
parte,pethaurekreshtrillesk
trabajo,trillreshaurekbeshaurekjenthosk
otro,osktrillreshosk
poco,pethoskcreshosk
despues,dornesksenthpethuskesksenth
cada,creshaurekdornaurek
tiempo,trilliskeskmermpethosk
durante,dornuskreshaureknerntrillesk
primero,pethreshiskmermeskreshosk
mucho,mermuskcreshherfosk
antes,aureknerntrillesksenth
desde,dornesksenthdornesk
nosotros,nernosksenthosktrillreshosksenth
nada,nernaurekdornaurek
pues,pethuskesksenth
tener,trillesknerneskresh
vez,veveskzerek
cosa,creshosksenthaurek
tener,trillesknerneskresh
decir,dorneskcreshiskresh
nuevo,nernuskeskvevosk
nunca,nernusknerncreshaurek
dar,dornaurekresh
hecho,herfeskcreshherfosk
cual,creshuskaurekleth
dos,dornosksenth
cosas,creshosksenthaureksenth
ver,veveskresh
casi,creshaureksenthisk
saber,senthaurekbesheskresh
aqui,aurekqekuskisk
madre,mermaurekdornreshesk
poco,pethoskcreshosk
personas,petheskreshsenthosknernaureksenth
mundo,mermusknerndornosk
forma,fornoskreshmermaurek
tener,trillesknerneskresh
hijo,herfiskjenthosk
padre,pethaurekdornreshesk
mujer,mermuskjentheskresh
lugar,lethuskgrekaurekresh
fin,fornisknern
dejar,dorneskjenthaurekresh
familia,fornaurekmermisklethiskaurek
poder,pethoskdorneskresh
razon,reshaurekzerekosknern
cabeza,creshaurekbesheskzerekaurek
quiere,qekuskiskeskreshesk
cosa,creshosksenthaurek
dia,dorniskaurek
aquella,aurekqekuskesklethlethaurek
bajo,beshaurekjenthosk
pasa,pethaureksenthaurek
buen,beshuskesknern
lado,lethaurekdornosk
amor,aurekmermoskresh
sigue,senthiskgrekuskesk
manana,mermaureknernaureknernaurek
nuestro,nernuskesksenthtrillreshosk
hasta,herfaureksenthtrillaurek
cuerpo,creshuskeskreshpethosk
agua,aurekgrekuskaurek
puesto,pethuskesksenthtrillosk
pasado,pethaureksenthaurekdornosk
pronto,pethreshosknerntrillosk
dicho,dorniskcreshherfosk
menos,mermesknernosksenth
sabe,senthaurekbeshesk
solo,senthosklethosk
cerca,cresheskreshcreshaurek
ahora,aurekherfoskreshaurek
creo,creshresheskosk
miedo,mermiskeskdornosk
viejo,veviskeskjenthosk
hijo,herfiskjenthosk
mal,mermaurekleth
ayer,aurekyirteskresh
debajo,dorneskbeshaurekjenthosk
encontrar,esknerncreshosknerntrillreshaurekresh
idea,iskdorneskaurek
mano,mermaureknernosk
siempre,senthiskeskmermpethreshesk
toda,trilloskdornaurek
hermano,herfeskreshmermaureknernosk
verdad,veveskreshdornaurekdorn
traves,trillreshaurekvevesksenth
caminar,creshaurekmermisknernaurekresh
ano,aureknernosk
gente,grekesknerntrillesk
quizas,qekuskiskzerekaureksenth
ciudad,creshiskuskdornaurekdorn
ultimo,usklethtrilliskmermosk
corazon,creshoskreshaurekzerekosknern
cuerpo,creshuskeskreshpethosk
camino,creshaurekmermisknernosk
necesito,nerneskcreshesksenthisktrillosk
mientras,mermiskesknerntrillreshaureksenth
amigo,aurekmermiskgrekosk
misma,mermisksenthmermaurek
paso,pethaureksenthosk
fuera,fornuskeskreshaurek
casa,creshaureksenthaurek
podia,pethoskdorniskaurek
algunos,aureklethgrekusknernosksenth
cara,creshaurekreshaurek
ningun,nernisknerngrekusknern
palabras,pethaureklethaurekbeshreshaureksenth
fuerza,fornuskeskreshzerekaurek
mundo,mermusknerndornosk
horas,herfoskreshaureksenth
voz,vevoskzerek
dios,dorniskosksenth
fuerte,fornuskeskreshtrillesk
luz,lethuskzerek
vieja,veviskeskjenthaurek
momento,mermoskmermesknerntrillosk
facil,fornaurekcreshiskleth
espero,esksenthpetheskreshosk
quedo,qekuskeskdornosk
nuevo,nernuskeskvevosk
nombre,nernoskmermbeshreshesk
amigos,aurekmermiskgrekosksenth
ojos,oskjenthosksenth
luego,lethuskeskgrekosk
casi,creshaureksenthisk
ninos,nernisknernosksenth
aunque,aurekusknernqekuskesk
ayer,aurekyirteskresh
manera,mermaureknerneskreshaurek
tarde,trillaurekreshdornesk
esperanza,esksenthpetheskreshaureknernzerekaurek
encontre,esknerncreshosknerntrillreshesk
dolor,dornosklethoskresh
